# redshift	D_L [Mpc]	Age [yr]
3.26222201e-04	1.44580861e+00	1.37821720e+10
3.33060034e-04	1.47612145e+00	1.37820732e+10
3.40041193e-04	1.50707000e+00	1.37819724e+10
3.47168682e-04	1.53866759e+00	1.37818695e+10
3.54445567e-04	1.57092784e+00	1.37817643e+10
3.61874981e-04	1.60386466e+00	1.37816570e+10
3.69460121e-04	1.63749224e+00	1.37815475e+10
3.77204249e-04	1.67182508e+00	1.37814356e+10
3.85110700e-04	1.70687798e+00	1.37813214e+10
3.93182876e-04	1.74266605e+00	1.37812048e+10
4.01424249e-04	1.77920472e+00	1.37810858e+10
4.09838367e-04	1.81650974e+00	1.37809643e+10
4.18428851e-04	1.85459719e+00	1.37808402e+10
4.27199397e-04	1.89348350e+00	1.37807135e+10
4.36153779e-04	1.93318543e+00	1.37805842e+10
4.45295851e-04	1.97372010e+00	1.37804522e+10
4.54629547e-04	2.01510499e+00	1.37803174e+10
4.64158883e-04	2.05735794e+00	1.37801798e+10
4.73887961e-04	2.10049719e+00	1.37800393e+10
4.83820966e-04	2.14454132e+00	1.37798958e+10
4.93962174e-04	2.18950933e+00	1.37797494e+10
5.04315949e-04	2.23542063e+00	1.37795998e+10
5.14886745e-04	2.28229501e+00	1.37794472e+10
5.25679112e-04	2.33015268e+00	1.37792913e+10
5.36697695e-04	2.37901431e+00	1.37791322e+10
5.47947234e-04	2.42890095e+00	1.37789698e+10
5.59432571e-04	2.47983414e+00	1.37788039e+10
5.71158648e-04	2.53183585e+00	1.37786346e+10
5.83130511e-04	2.58492851e+00	1.37784618e+10
5.95353313e-04	2.63913503e+00	1.37782853e+10
6.07832313e-04	2.69447880e+00	1.37781051e+10
6.20572881e-04	2.75098370e+00	1.37779211e+10
6.33580499e-04	2.80867413e+00	1.37777333e+10
6.46860766e-04	2.86757496e+00	1.37775416e+10
6.60419396e-04	2.92771163e+00	1.37773458e+10
6.74262224e-04	2.98911010e+00	1.37771460e+10
6.88395207e-04	3.05179686e+00	1.37769419e+10
7.02824426e-04	3.11579897e+00	1.37767336e+10
7.17556092e-04	3.18114407e+00	1.37765210e+10
7.32596543e-04	3.24786036e+00	1.37763038e+10
7.47952252e-04	3.31597666e+00	1.37760822e+10
7.63629826e-04	3.38552237e+00	1.37758558e+10
7.79636013e-04	3.45652752e+00	1.37756248e+10
7.95977700e-04	3.52902279e+00	1.37753889e+10
8.12661920e-04	3.60303947e+00	1.37751481e+10
8.29695852e-04	3.67860954e+00	1.37749022e+10
8.47086827e-04	3.75576564e+00	1.37746512e+10
8.64842328e-04	3.83454111e+00	1.37743949e+10
8.82969996e-04	3.91496996e+00	1.37741333e+10
9.01477631e-04	3.99708696e+00	1.37738662e+10
9.20373200e-04	4.08092758e+00	1.37735935e+10
9.39664831e-04	4.16652806e+00	1.37733150e+10
9.59360829e-04	4.25392539e+00	1.37730308e+10
9.79469667e-04	4.34315734e+00	1.37727406e+10
1.00000000e-03	4.43426248e+00	1.37724443e+10
1.02096066e-03	4.52728020e+00	1.37721419e+10
1.04236067e-03	4.62225070e+00	1.37718331e+10
1.06420924e-03	4.71921506e+00	1.37715178e+10
1.08651577e-03	4.81821519e+00	1.37711960e+10
1.10928986e-03	4.91929391e+00	1.37708674e+10
1.13254132e-03	5.02249495e+00	1.37705319e+10
1.15628013e-03	5.12786293e+00	1.37701894e+10
1.18051653e-03	5.23544343e+00	1.37698398e+10
1.20526094e-03	5.34528301e+00	1.37694828e+10
1.23052400e-03	5.45742918e+00	1.37691184e+10
1.25631660e-03	5.57193048e+00	1.37687463e+10
1.28264983e-03	5.68883646e+00	1.37683664e+10
1.30953502e-03	5.80819772e+00	1.37679786e+10
1.33698374e-03	5.93006592e+00	1.37675827e+10
1.36500781e-03	6.05449384e+00	1.37671785e+10
1.39361927e-03	6.18153535e+00	1.37667659e+10
1.42283046e-03	6.31124545e+00	1.37663446e+10
1.45265393e-03	6.44368034e+00	1.37659145e+10
1.48310251e-03	6.57889738e+00	1.37654755e+10
1.51418933e-03	6.71695514e+00	1.37650272e+10
1.54592774e-03	6.85791345e+00	1.37645695e+10
1.57833141e-03	7.00183338e+00	1.37641023e+10
1.61141428e-03	7.14877732e+00	1.37636254e+10
1.64519059e-03	7.29880895e+00	1.37631384e+10
1.67967487e-03	7.45199333e+00	1.37626413e+10
1.71488197e-03	7.60839688e+00	1.37621337e+10
1.75082703e-03	7.76808741e+00	1.37616156e+10
1.78752553e-03	7.93113421e+00	1.37610866e+10
1.82499324e-03	8.09760799e+00	1.37605466e+10
1.86324631e-03	8.26758100e+00	1.37599952e+10
1.90230119e-03	8.44112699e+00	1.37594324e+10
1.94217468e-03	8.61832128e+00	1.37588578e+10
1.98288395e-03	8.79924080e+00	1.37582712e+10
2.02444651e-03	8.98396410e+00	1.37576723e+10
2.06688025e-03	9.17257141e+00	1.37570609e+10
2.11020343e-03	9.36514465e+00	1.37564367e+10
2.15443469e-03	9.56176747e+00	1.37557995e+10
2.19959307e-03	9.76252531e+00	1.37551490e+10
2.24569800e-03	9.96750543e+00	1.37544849e+10
2.29276931e-03	1.01767969e+01	1.37538069e+10
2.34082728e-03	1.03904908e+01	1.37531147e+10
2.38989257e-03	1.06086800e+01	1.37524081e+10
2.43998630e-03	1.08314594e+01	1.37516867e+10
2.49113003e-03	1.10589260e+01	1.37509503e+10
2.54334576e-03	1.12911786e+01	1.37501985e+10
2.59665597e-03	1.15283185e+01	1.37494309e+10
2.65108360e-03	1.17704489e+01	1.37486474e+10
2.70665207e-03	1.20176752e+01	1.37478475e+10
2.76338529e-03	1.22701051e+01	1.37470309e+10
2.82130768e-03	1.25278486e+01	1.37461972e+10
2.88044415e-03	1.27910180e+01	1.37453462e+10
2.94082017e-03	1.30597280e+01	1.37444774e+10
3.00246171e-03	1.33340959e+01	1.37435904e+10
3.06539530e-03	1.36142412e+01	1.37426850e+10
3.12964801e-03	1.39002862e+01	1.37417606e+10
3.19524751e-03	1.41923558e+01	1.37408170e+10
3.26222201e-03	1.44905773e+01	1.37398537e+10
3.33060034e-03	1.47950812e+01	1.37388703e+10
3.40041193e-03	1.51060002e+01	1.37378664e+10
3.47168682e-03	1.54234704e+01	1.37368415e+10
3.54445567e-03	1.57476304e+01	1.37357953e+10
3.61874981e-03	1.60786220e+01	1.37347272e+10
3.69460121e-03	1.64165900e+01	1.37336369e+10
3.77204249e-03	1.67616821e+01	1.37325239e+10
3.85110700e-03	1.71140494e+01	1.37313876e+10
3.93182876e-03	1.74738463e+01	1.37302277e+10
4.01424249e-03	1.78412302e+01	1.37290436e+10
4.09838367e-03	1.82163620e+01	1.37278349e+10
4.18428851e-03	1.85994063e+01	1.37266009e+10
4.27199397e-03	1.89905310e+01	1.37253413e+10
4.36153779e-03	1.93899075e+01	1.37240554e+10
4.45295851e-03	1.97977111e+01	1.37227427e+10
4.54629547e-03	2.02141209e+01	1.37214027e+10
4.64158883e-03	2.06393197e+01	1.37200348e+10
4.73887961e-03	2.10734942e+01	1.37186385e+10
4.83820966e-03	2.15168353e+01	1.37172130e+10
4.93962174e-03	2.19695379e+01	1.37157579e+10
5.04315949e-03	2.24318012e+01	1.37142725e+10
5.14886745e-03	2.29038285e+01	1.37127563e+10
5.25679112e-03	2.33858277e+01	1.37112084e+10
5.36697695e-03	2.38780110e+01	1.37096284e+10
