# redshift	D_L [Mpc]	Age [yr]
3.47168682e-04	1.50183085e+00	1.37640033e+10
3.54445567e-04	1.53331898e+00	1.37639008e+10
3.61874981e-04	1.56546748e+00	1.37637960e+10
3.69460121e-04	1.59829023e+00	1.37636891e+10
3.77204249e-04	1.63180137e+00	1.37635799e+10
3.85110700e-04	1.66601534e+00	1.37634684e+10
3.93182876e-04	1.70094690e+00	1.37633546e+10
4.01424249e-04	1.73661110e+00	1.37632385e+10
4.09838367e-04	1.77302332e+00	1.37631198e+10
4.18428851e-04	1.81019927e+00	1.37629987e+10
4.27199397e-04	1.84815496e+00	1.37628751e+10
4.36153779e-04	1.88690677e+00	1.37627489e+10
4.45295851e-04	1.92647140e+00	1.37626200e+10
4.54629547e-04	1.96686592e+00	1.37624884e+10
4.64158883e-04	2.00810774e+00	1.37623541e+10
4.73887961e-04	2.05021466e+00	1.37622170e+10
4.83820966e-04	2.09320483e+00	1.37620769e+10
4.93962174e-04	2.13709679e+00	1.37619340e+10
5.04315949e-04	2.18190948e+00	1.37617881e+10
5.14886745e-04	2.22766222e+00	1.37616391e+10
5.25679112e-04	2.27437475e+00	1.37614869e+10
5.36697695e-04	2.32206722e+00	1.37613316e+10
5.47947234e-04	2.37076021e+00	1.37611731e+10
5.59432571e-04	2.42047472e+00	1.37610112e+10
5.71158648e-04	2.47123220e+00	1.37608459e+10
5.83130511e-04	2.52305455e+00	1.37606772e+10
5.95353313e-04	2.57596414e+00	1.37605049e+10
6.07832313e-04	2.62998380e+00	1.37603291e+10
6.20572881e-04	2.68513684e+00	1.37601495e+10
6.33580499e-04	2.74144705e+00	1.37599662e+10
6.46860766e-04	2.79893875e+00	1.37597791e+10
6.60419396e-04	2.85763675e+00	1.37595880e+10
6.74262224e-04	2.91756638e+00	1.37593929e+10
6.88395207e-04	2.97875352e+00	1.37591937e+10
7.02824426e-04	3.04122458e+00	1.37589904e+10
7.17556092e-04	3.10500653e+00	1.37587828e+10
7.32596543e-04	3.17012692e+00	1.37585709e+10
7.47952252e-04	3.23661385e+00	1.37583545e+10
7.63629826e-04	3.30449605e+00	1.37581336e+10
7.79636013e-04	3.37380282e+00	1.37579081e+10
7.95977700e-04	3.44456410e+00	1.37576779e+10
8.12661920e-04	3.51681045e+00	1.37574428e+10
8.29695852e-04	3.59057308e+00	1.37572028e+10
8.47086827e-04	3.66588386e+00	1.37569578e+10
8.64842328e-04	3.74277532e+00	1.37567076e+10
8.82969996e-04	3.82128068e+00	1.37564523e+10
9.01477631e-04	3.90143386e+00	1.37561915e+10
9.20373200e-04	3.98326951e+00	1.37559253e+10
9.39664831e-04	4.06682298e+00	1.37556536e+10
9.59360829e-04	4.15213040e+00	1.37553761e+10
9.79469667e-04	4.23922862e+00	1.37550929e+10
1.00000000e-03	4.32815532e+00	1.37548037e+10
1.02096066e-03	4.41894893e+00	1.37545085e+10
1.04236067e-03	4.51164870e+00	1.37542071e+10
1.06420924e-03	4.60629473e+00	1.37538993e+10
1.08651577e-03	4.70292795e+00	1.37535852e+10
1.10928986e-03	4.80159014e+00	1.37532644e+10
1.13254132e-03	4.90232398e+00	1.37529370e+10
1.15628013e-03	5.00517306e+00	1.37526027e+10
1.18051653e-03	5.11018186e+00	1.37522614e+10
1.20526094e-03	5.21739583e+00	1.37519130e+10
1.23052400e-03	5.32686136e+00	1.37515572e+10
1.25631660e-03	5.43862582e+00	1.37511941e+10
1.28264983e-03	5.55273760e+00	1.37508233e+10
1.30953502e-03	5.66924608e+00	1.37504448e+10
1.33698374e-03	5.78820172e+00	1.37500583e+10
1.36500781e-03	5.90965602e+00	1.37496638e+10
1.39361927e-03	6.03366157e+00	1.37492610e+10
1.42283046e-03	6.16027208e+00	1.37488498e+10
1.45265393e-03	6.28954241e+00	1.37484300e+10
1.48310251e-03	6.42152855e+00	1.37480014e+10
1.51418933e-03	6.55628769e+00	1.37475638e+10
1.54592774e-03	6.69387823e+00	1.37471171e+10
1.57833141e-03	6.83435981e+00	1.37466611e+10
1.61141428e-03	6.97779331e+00	1.37461955e+10
1.64519059e-03	7.12424094e+00	1.37457202e+10
1.67967487e-03	7.27376618e+00	1.37452349e+10
1.71488197e-03	7.42643388e+00	1.37447395e+10
1.75082703e-03	7.58231027e+00	1.37442337e+10
1.78752553e-03	7.74146296e+00	1.37437174e+10
1.82499324e-03	7.90396102e+00	1.37431903e+10
1.86324631e-03	8.06987496e+00	1.37426521e+10
1.90230119e-03	8.23927680e+00	1.37421027e+10
1.94217468e-03	8.41224008e+00	1.37415418e+10
1.98288395e-03	8.58883990e+00	1.37409692e+10
2.02444651e-03	8.76915295e+00	1.37403846e+10
2.06688025e-03	8.95325756e+00	1.37397878e+10
2.11020343e-03	9.14123371e+00	1.37391785e+10
2.15443469e-03	9.33316309e+00	1.37385565e+10
